plane_id,plane_id_basis,cell_id,cell_id_basis,plane_type,plane_type_basis,x_m,x_m_basis,y_min_m,y_min_m_basis,y_max_m,y_max_m_basis,z_top_m_bgl,z_top_m_bgl_basis,z_bottom_m_bgl,z_bottom_m_bgl_basis,area_m2,area_m2_basis,k_zone_id,k_zone_id_basis,gradient_normal_central,gradient_normal_central_basis,PFOS_ug_L,PFOS_ug_L_basis,PFHxS_ug_L,PFHxS_ug_L_basis,PFOA_ug_L,PFOA_ug_L_basis,PFBA_ug_L,PFBA_ug_L_basis,PFBS_ug_L,PFBS_ug_L_basis,FTS_6_2_ug_L,FTS_6_2_ug_L_basis,note
CP1,synthetic assumption,CP1_C01,synthetic assumption,source plane,synthetic assumption,300,synthetic assumption,100,synthetic assumption,220,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ1,synthetic assumption,0.01,synthetic assumption,1.0,"public-range anchor, modified",0.25,"public-range anchor, modified",0.12,"public-range anchor, modified",0.3,synthetic assumption,0.1,synthetic assumption,0.08,"public-range anchor, modified",central concentration field for deterministic demonstration
CP1,synthetic assumption,CP1_C02,synthetic assumption,source plane,synthetic assumption,300,synthetic assumption,220,synthetic assumption,340,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ2,synthetic assumption,0.02,synthetic assumption,12.0,"public-range anchor, modified",4.0,"public-range anchor, modified",1.6,"public-range anchor, modified",3.0,synthetic assumption,0.9,synthetic assumption,2.0,"public-range anchor, modified",central concentration field for deterministic demonstration
CP1,synthetic assumption,CP1_C03,synthetic assumption,source plane,synthetic assumption,300,synthetic assumption,340,synthetic assumption,460,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ2,synthetic assumption,0.02,synthetic assumption,20.0,"public-range anchor, modified",7.0,"public-range anchor, modified",2.4,"public-range anchor, modified",4.0,synthetic assumption,1.2,synthetic assumption,2.8,"public-range anchor, modified",central concentration field for deterministic demonstration
CP1,synthetic assumption,CP1_C04,synthetic assumption,source plane,synthetic assumption,300,synthetic assumption,460,synthetic assumption,580,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ3,synthetic assumption,0.015,synthetic assumption,3.0,"public-range anchor, modified",0.8,"public-range anchor, modified",0.3,"public-range anchor, modified",1.2,synthetic assumption,0.4,synthetic assumption,0.6,"public-range anchor, modified",central concentration field for deterministic demonstration
CP2,synthetic assumption,CP2_C01,synthetic assumption,plume plane,synthetic assumption,650,synthetic assumption,100,synthetic assumption,220,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ1,synthetic assumption,0.01,synthetic assumption,0.2,synthetic assumption,0.05,synthetic assumption,0.04,synthetic assumption,0.2,synthetic assumption,0.08,synthetic assumption,0.02,synthetic assumption,central concentration field for deterministic demonstration
CP2,synthetic assumption,CP2_C02,synthetic assumption,plume plane,synthetic assumption,650,synthetic assumption,220,synthetic assumption,340,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ3,synthetic assumption,0.015,synthetic assumption,2.0,"public-range anchor, modified",0.55,"public-range anchor, modified",0.35,"public-range anchor, modified",1.5,synthetic assumption,0.5,synthetic assumption,0.3,"public-range anchor, modified",central concentration field for deterministic demonstration
CP2,synthetic assumption,CP2_C03,synthetic assumption,plume plane,synthetic assumption,650,synthetic assumption,340,synthetic assumption,460,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ3,synthetic assumption,0.015,synthetic assumption,5.0,"public-range anchor, modified",1.5,"public-range anchor, modified",0.75,"public-range anchor, modified",2.0,synthetic assumption,0.7,synthetic assumption,0.8,"public-range anchor, modified",central concentration field for deterministic demonstration
CP2,synthetic assumption,CP2_C04,synthetic assumption,plume plane,synthetic assumption,650,synthetic assumption,460,synthetic assumption,580,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ3,synthetic assumption,0.012,synthetic assumption,1.0,"public-range anchor, modified",0.3,"public-range anchor, modified",0.15,"public-range anchor, modified",0.8,synthetic assumption,0.25,synthetic assumption,0.15,"public-range anchor, modified",central concentration field for deterministic demonstration
CP3,synthetic assumption,CP3_C01,synthetic assumption,receptor plane,synthetic assumption,950,synthetic assumption,100,synthetic assumption,220,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ4,synthetic assumption,0.01,synthetic assumption,0.05,synthetic assumption,0.01,synthetic assumption,0.01,synthetic assumption,0.12,synthetic assumption,0.05,synthetic assumption,0.0,synthetic assumption,central concentration field for deterministic demonstration
CP3,synthetic assumption,CP3_C02,synthetic assumption,receptor plane,synthetic assumption,950,synthetic assumption,220,synthetic assumption,340,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ4,synthetic assumption,0.01,synthetic assumption,0.4,"public-range anchor, modified",0.1,"public-range anchor, modified",0.08,"public-range anchor, modified",0.6,synthetic assumption,0.2,synthetic assumption,0.04,"public-range anchor, modified",central concentration field for deterministic demonstration
CP3,synthetic assumption,CP3_C03,synthetic assumption,receptor plane,synthetic assumption,950,synthetic assumption,340,synthetic assumption,460,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ4,synthetic assumption,0.01,synthetic assumption,1.0,"public-range anchor, modified",0.25,"public-range anchor, modified",0.15,"public-range anchor, modified",0.7,synthetic assumption,0.25,synthetic assumption,0.08,"public-range anchor, modified",central concentration field for deterministic demonstration
CP3,synthetic assumption,CP3_C04,synthetic assumption,receptor plane,synthetic assumption,950,synthetic assumption,460,synthetic assumption,580,synthetic assumption,2,synthetic assumption,12,synthetic assumption,1200,synthetic assumption,KZ4,synthetic assumption,0.008,synthetic assumption,0.3,synthetic assumption,0.08,synthetic assumption,0.05,synthetic assumption,0.4,synthetic assumption,0.12,synthetic assumption,0.02,synthetic assumption,central concentration field for deterministic demonstration
