file,column,pandas_dtype,basis_column_if_available,is_basis_column
analyte_groups.csv,group_id,object,group_id_basis,no
analyte_groups.csv,group_id_basis,object,,yes
analyte_groups.csv,included_analytes,object,included_analytes_basis,no
analyte_groups.csv,included_analytes_basis,object,,yes
analyte_groups.csv,excluded_information,object,excluded_information_basis,no
analyte_groups.csv,excluded_information_basis,object,,yes
analyte_groups.csv,non_detect_rule,object,non_detect_rule_basis,no
analyte_groups.csv,non_detect_rule_basis,object,,yes
analyte_groups.csv,TOP_available,object,TOP_available_basis,no
analyte_groups.csv,TOP_available_basis,object,,yes
analyte_groups.csv,F_comp_low,float64,F_comp_low_basis,no
analyte_groups.csv,F_comp_low_basis,object,,yes
analyte_groups.csv,F_comp_central,float64,F_comp_central_basis,no
analyte_groups.csv,F_comp_central_basis,object,,yes
analyte_groups.csv,F_comp_high,float64,F_comp_high_basis,no
analyte_groups.csv,F_comp_high_basis,object,,yes
analyte_groups.csv,reporting_purpose,object,reporting_purpose_basis,no
analyte_groups.csv,reporting_purpose_basis,object,,yes
analyte_groups.csv,note,object,,no
archive_manifest.csv,file_name,object,,no
archive_manifest.csv,description,object,,no
archive_manifest.csv,location_or_geography,object,,no
archive_manifest.csv,data_status,object,,no
assumed_K_zones.csv,k_zone_id,object,k_zone_id_basis,no
assumed_K_zones.csv,k_zone_id_basis,object,,yes
assumed_K_zones.csv,hydrostratigraphic_role,object,hydrostratigraphic_role_basis,no
assumed_K_zones.csv,hydrostratigraphic_role_basis,object,,yes
assumed_K_zones.csv,K_low_m_d,float64,K_low_m_d_basis,no
assumed_K_zones.csv,K_low_m_d_basis,object,,yes
assumed_K_zones.csv,K_central_m_d,float64,K_central_m_d_basis,no
assumed_K_zones.csv,K_central_m_d_basis,object,,yes
assumed_K_zones.csv,K_high_m_d,float64,K_high_m_d_basis,no
assumed_K_zones.csv,K_high_m_d_basis,object,,yes
assumed_K_zones.csv,gradient_low,float64,gradient_low_basis,no
assumed_K_zones.csv,gradient_low_basis,object,,yes
assumed_K_zones.csv,gradient_central,float64,gradient_central_basis,no
assumed_K_zones.csv,gradient_central_basis,object,,yes
assumed_K_zones.csv,gradient_high,float64,gradient_high_basis,no
assumed_K_zones.csv,gradient_high_basis,object,,yes
assumed_K_zones.csv,effective_thickness_low_m,int64,effective_thickness_low_m_basis,no
assumed_K_zones.csv,effective_thickness_low_m_basis,object,,yes
assumed_K_zones.csv,effective_thickness_central_m,int64,effective_thickness_central_m_basis,no
assumed_K_zones.csv,effective_thickness_central_m_basis,object,,yes
assumed_K_zones.csv,effective_thickness_high_m,int64,effective_thickness_high_m_basis,no
assumed_K_zones.csv,effective_thickness_high_m_basis,object,,yes
assumed_K_zones.csv,note,object,,no
control_plane_cells.csv,plane_id,object,plane_id_basis,no
control_plane_cells.csv,plane_id_basis,object,,yes
control_plane_cells.csv,cell_id,object,cell_id_basis,no
control_plane_cells.csv,cell_id_basis,object,,yes
control_plane_cells.csv,plane_type,object,plane_type_basis,no
control_plane_cells.csv,plane_type_basis,object,,yes
control_plane_cells.csv,x_m,int64,x_m_basis,no
control_plane_cells.csv,x_m_basis,object,,yes
control_plane_cells.csv,y_min_m,int64,y_min_m_basis,no
control_plane_cells.csv,y_min_m_basis,object,,yes
