plane_id,cell_id,analyte,q_m_d,area_m2,C_ug_L,Md_g_d,value_basis,formula
CP1,CP1_C01,PFOS,0.002,1200.0,1.0,0.0024,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C01,PFHxS,0.002,1200.0,0.25,0.0006,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C01,PFOA,0.002,1200.0,0.12,0.00028800000000000006,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C01,PFBA,0.002,1200.0,0.3,0.0007199999999999999,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C01,PFBS,0.002,1200.0,0.1,0.00024000000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C01,FTS_6_2,0.002,1200.0,0.08,0.000192,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C02,PFOS,0.01,1200.0,12.0,0.14400000000000002,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C02,PFHxS,0.01,1200.0,4.0,0.048,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C02,PFOA,0.01,1200.0,1.6,0.0192,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C02,PFBA,0.01,1200.0,3.0,0.036000000000000004,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C02,PFBS,0.01,1200.0,0.9,0.0108,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C02,FTS_6_2,0.01,1200.0,2.0,0.024,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C03,PFOS,0.01,1200.0,20.0,0.24,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C03,PFHxS,0.01,1200.0,7.0,0.08400000000000002,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C03,PFOA,0.01,1200.0,2.4,0.028800000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C03,PFBA,0.01,1200.0,4.0,0.048,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C03,PFBS,0.01,1200.0,1.2,0.014400000000000001,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C03,FTS_6_2,0.01,1200.0,2.8,0.0336,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C04,PFOS,0.03,1200.0,3.0,0.108,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C04,PFHxS,0.03,1200.0,0.8,0.028800000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
