plane_id,plane_type,analyte,mass_discharge_g_d,mass_discharge_mg_d,contributing_cells,mean_q_m_d,total_Q_m3_d
CP1,source plane,6:2 FTS,0.079392,79.392,4,0.013,62.4
CP1,source plane,PFBA,0.12792,127.92,4,0.013,62.4
CP1,source plane,PFBS,0.03984,39.84,4,0.013,62.4
CP1,source plane,PFHxS,0.16140000000000002,161.4,4,0.013,62.4
CP1,source plane,PFOA,0.059088,59.088,4,0.013,62.4
CP1,source plane,PFOS,0.4944,494.40000000000003,4,0.013,62.4
CP2,plume plane,6:2 FTS,0.043968,43.968,4,0.0215,103.2
CP2,plume plane,PFBA,0.14952000000000001,149.52,4,0.0215,103.2
CP2,plume plane,PFBS,0.050592,50.592,4,0.0215,103.2
CP2,plume plane,PFHxS,0.08256,82.56,4,0.0215,103.2
CP2,plume plane,PFOA,0.044016,44.016,4,0.0215,103.2
CP2,plume plane,PFOS,0.28128,281.28000000000003,4,0.0215,103.2
CP3,receptor plane,6:2 FTS,0.0008160000000000001,0.8160000000000002,4,0.00475,22.8
CP3,receptor plane,PFBA,0.010440000000000001,10.440000000000001,4,0.00475,22.8
CP3,receptor plane,PFBS,0.003576,3.576,4,0.00475,22.8
CP3,receptor plane,PFHxS,0.0025440000000000003,2.544,4,0.00475,22.8
CP3,receptor plane,PFOA,0.00168,1.6800000000000004,4,0.00475,22.8
CP3,receptor plane,PFOS,0.01014,10.139999999999999,4,0.00475,22.8
